catalog_id,catalog_name,igsn,landing_page,datacite_commons_page 
scpr.uoadij,4TU.ResearchData IGSN repository,,,
mqkk.gvifxu,ADS IGSN,,,
hypc.pgxtac,AGRepositoryIGSN,10.58056/agta75591f72,https://doi.org/10.58056/agta75591f72,https://commons.datacite.org/doi.org/10.58056/agta75591f72
hypc.pgxtac,AGRepositoryIGSN,10.58056/agtad45daf9b,https://doi.org/10.58056/agtad45daf9b,https://commons.datacite.org/doi.org/10.58056/agtad45daf9b
hypc.pgxtac,AGRepositoryIGSN,10.58056/agtab347e3ef,https://doi.org/10.58056/agtab347e3ef,https://commons.datacite.org/doi.org/10.58056/agtab347e3ef
hypc.pgxtac,AGRepositoryIGSN,10.58056/agta763ff3cb,https://doi.org/10.58056/agta763ff3cb,https://commons.datacite.org/doi.org/10.58056/agta763ff3cb
hypc.pgxtac,AGRepositoryIGSN,10.58056/agtafd4e97f1,https://doi.org/10.58056/agtafd4e97f1,https://commons.datacite.org/doi.org/10.58056/agtafd4e97f1
arch.igsn,Archaeological Map of the Czech Republic - IGSN Catalog,10.71928/m-202600319-n00016,https://doi.org/10.71928/m-202600319-n00016,https://commons.datacite.org/doi.org/10.71928/m-202600319-n00016
arch.igsn,Archaeological Map of the Czech Republic - IGSN Catalog,10.71928/m-202600319-n00091,https://doi.org/10.71928/m-202600319-n00091,https://commons.datacite.org/doi.org/10.71928/m-202600319-n00091
arch.igsn,Archaeological Map of the Czech Republic - IGSN Catalog,10.71928/m-202600319-n00409,https://doi.org/10.71928/m-202600319-n00409,https://commons.datacite.org/doi.org/10.71928/m-202600319-n00409
arch.igsn,Archaeological Map of the Czech Republic - IGSN Catalog,10.71928/m-202600319-n00408,https://doi.org/10.71928/m-202600319-n00408,https://commons.datacite.org/doi.org/10.71928/m-202600319-n00408
arch.igsn,Archaeological Map of the Czech Republic - IGSN Catalog,10.71928/m-202600319-n00205,https://doi.org/10.71928/m-202600319-n00205,https://commons.datacite.org/doi.org/10.71928/m-202600319-n00205
ardcx.ardc3,ARDC IGSN Repository,,,
auscope.repo2,AuScope IGSN Sample Repository,,,
pangaea.bgr,BGR-IGSN-Repository-Bohrkerne,10.60482/bgrb2000rszt001,https://doi.org/10.60482/bgrb2000rszt001,https://commons.datacite.org/doi.org/10.60482/bgrb2000rszt001
pangaea.bgr,BGR-IGSN-Repository-Bohrkerne,10.60482/bgrb2000rsyo001,https://doi.org/10.60482/bgrb2000rsyo001,https://commons.datacite.org/doi.org/10.60482/bgrb2000rsyo001
pangaea.bgr,BGR-IGSN-Repository-Bohrkerne,10.60482/bgrb2000rsxt001,https://doi.org/10.60482/bgrb2000rsxt001,https://commons.datacite.org/doi.org/10.60482/bgrb2000rsxt001
pangaea.bgr,BGR-IGSN-Repository-Bohrkerne,10.60482/bgrb2000rswo001,https://doi.org/10.60482/bgrb2000rswo001,https://commons.datacite.org/doi.org/10.60482/bgrb2000rswo001
pangaea.bgr,BGR-IGSN-Repository-Bohrkerne,10.60482/bgrb2000rsvt001,https://doi.org/10.60482/bgrb2000rsvt001,https://commons.datacite.org/doi.org/10.60482/bgrb2000rsvt001
gdtq.igsn-gewisdb,BGR-IGSN-Repository-Sammlungen,,,
fnma.xssojy,Botanical Institute (Kiel Herbarium),10.58030/kielbot0007081,https://doi.org/10.58030/kielbot0007081,https://commons.datacite.org/doi.org/10.58030/kielbot0007081
fnma.xssojy,Botanical Institute (Kiel Herbarium),10.58030/kielbot0007050,https://doi.org/10.58030/kielbot0007050,https://commons.datacite.org/doi.org/10.58030/kielbot0007050
fnma.xssojy,Botanical Institute (Kiel Herbarium),10.58030/kielbot0007030,https://doi.org/10.58030/kielbot0007030,https://commons.datacite.org/doi.org/10.58030/kielbot0007030
fnma.xssojy,Botanical Institute (Kiel Herbarium),10.58030/kielbot0007029,https://doi.org/10.58030/kielbot0007029,https://commons.datacite.org/doi.org/10.58030/kielbot0007029
fnma.xssojy,Botanical Institute (Kiel Herbarium),10.58030/kielbot0007028,https://doi.org/10.58030/kielbot0007028,https://commons.datacite.org/doi.org/10.58030/kielbot0007028
zwux.csiro-igsn,CSIRO IGSN,10.58108/csrwasc00414,https://doi.org/10.58108/csrwasc00414,https://commons.datacite.org/doi.org/10.58108/csrwasc00414
zwux.csiro-igsn,CSIRO IGSN,10.58108/csrwasc00247,https://doi.org/10.58108/csrwasc00247,https://commons.datacite.org/doi.org/10.58108/csrwasc00247
zwux.csiro-igsn,CSIRO IGSN,10.58108/csrwa1930,https://doi.org/10.58108/csrwa1930,https://commons.datacite.org/doi.org/10.58108/csrwa1930
zwux.csiro-igsn,CSIRO IGSN,10.58108/csrwasc00077,https://doi.org/10.58108/csrwasc00077,https://commons.datacite.org/doi.org/10.58108/csrwasc00077
zwux.csiro-igsn,CSIRO IGSN,10.58108/csrwa19937,https://doi.org/10.58108/csrwa19937,https://commons.datacite.org/doi.org/10.58108/csrwa19937
fnma.qimigb,DAPHNE4NFDI Kiel University,10.60578/jquf-yh0n,https://doi.org/10.60578/jquf-yh0n,https://commons.datacite.org/doi.org/10.60578/jquf-yh0n
fnma.qimigb,DAPHNE4NFDI Kiel University,10.60578/0jf7-3tu6,https://doi.org/10.60578/0jf7-3tu6,https://commons.datacite.org/doi.org/10.60578/0jf7-3tu6
fnma.qimigb,DAPHNE4NFDI Kiel University,10.60578/w32f-tnt7,https://doi.org/10.60578/w32f-tnt7,https://commons.datacite.org/doi.org/10.60578/w32f-tnt7
fnma.qimigb,DAPHNE4NFDI Kiel University,10.60578/cahg-4n5x,https://doi.org/10.60578/cahg-4n5x,https://commons.datacite.org/doi.org/10.60578/cahg-4n5x
fnma.qimigb,DAPHNE4NFDI Kiel University,10.60578/4cqn-phsz,https://doi.org/10.60578/4cqn-phsz,https://commons.datacite.org/doi.org/10.60578/4cqn-phsz
csic.digital-igsn,DIGITAL.CSIC (IGSN),10.25706/digitalcsic-igsn/622284,https://doi.org/10.25706/digitalcsic-igsn/622284,https://commons.datacite.org/doi.org/10.25706/digitalcsic-igsn/622284
csic.digital-igsn,DIGITAL.CSIC (IGSN),10.25706/digitalcsic-igsn/622180,https://doi.org/10.25706/digitalcsic-igsn/622180,https://commons.datacite.org/doi.org/10.25706/digitalcsic-igsn/622180
csic.digital-igsn,DIGITAL.CSIC (IGSN),10.25706/digitalcsic-igsn/622170,https://doi.org/10.25706/digitalcsic-igsn/622170,https://commons.datacite.org/doi.org/10.25706/digitalcsic-igsn/622170
csic.digital-igsn,DIGITAL.CSIC (IGSN),10.25706/digitalcsic-igsn/622175,https://doi.org/10.25706/digitalcsic-igsn/622175,https://commons.datacite.org/doi.org/10.25706/digitalcsic-igsn/622175
csic.digital-igsn,DIGITAL.CSIC (IGSN),10.25706/digitalcsic-igsn/622156,https://doi.org/10.25706/digitalcsic-igsn/622156,https://commons.datacite.org/doi.org/10.25706/digitalcsic-igsn/622156
jbru.dtinsu,Division Technique de l'INSU,10.57977/cnrs0000033146,https://doi.org/10.57977/cnrs0000033146,https://commons.datacite.org/doi.org/10.57977/cnrs0000033146
jbru.dtinsu,Division Technique de l'INSU,10.57977/cnrs0000033145,https://doi.org/10.57977/cnrs0000033145,https://commons.datacite.org/doi.org/10.57977/cnrs0000033145
jbru.dtinsu,Division Technique de l'INSU,10.57977/cnrs0000033144,https://doi.org/10.57977/cnrs0000033144,https://commons.datacite.org/doi.org/10.57977/cnrs0000033144
jbru.dtinsu,Division Technique de l'INSU,10.57977/cnrs0000033143,https://doi.org/10.57977/cnrs0000033143,https://commons.datacite.org/doi.org/10.57977/cnrs0000033143
jbru.dtinsu,Division Technique de l'INSU,10.57977/cnrs0000033142,https://doi.org/10.57977/cnrs0000033142,https://commons.datacite.org/doi.org/10.57977/cnrs0000033142
ogcd.gnmxkd,GEO Big Data Open Platform,,,
pangaea.geob,GeoB Core Repository,,,
hema.ndvoef,GEOMAR BIS Biosample Repository,10.60488/bis000000018185,https://doi.org/10.60488/bis000000018185,https://commons.datacite.org/doi.org/10.60488/bis000000018185
hema.ndvoef,GEOMAR BIS Biosample Repository,10.60488/bis000000018197,https://doi.org/10.60488/bis000000018197,https://commons.datacite.org/doi.org/10.60488/bis000000018197
hema.ndvoef,GEOMAR BIS Biosample Repository,10.60488/bis000000018215,https://doi.org/10.60488/bis000000018215,https://commons.datacite.org/doi.org/10.60488/bis000000018215
hema.ndvoef,GEOMAR BIS Biosample Repository,10.60488/bis000000018188,https://doi.org/10.60488/bis000000018188,https://commons.datacite.org/doi.org/10.60488/bis000000018188
hema.ndvoef,GEOMAR BIS Biosample Repository,10.60488/bis000000018179,https://doi.org/10.60488/bis000000018179,https://commons.datacite.org/doi.org/10.60488/bis000000018179
fnma.ytwwww,GEOMAR Geological Samples,10.58031/kiel0267gcfc201,https://doi.org/10.58031/kiel0267gcfc201,https://commons.datacite.org/doi.org/10.58031/kiel0267gcfc201
fnma.ytwwww,GEOMAR Geological Samples,10.58031/kiel0267gck5201,https://doi.org/10.58031/kiel0267gck5201,https://commons.datacite.org/doi.org/10.58031/kiel0267gck5201
fnma.ytwwww,GEOMAR Geological Samples,10.58031/kiel0267gck4201,https://doi.org/10.58031/kiel0267gck4201,https://commons.datacite.org/doi.org/10.58031/kiel0267gck4201
fnma.ytwwww,GEOMAR Geological Samples,10.58031/kiel0267gck3201,https://doi.org/10.58031/kiel0267gck3201,https://commons.datacite.org/doi.org/10.58031/kiel0267gck3201
fnma.ytwwww,GEOMAR Geological Samples,10.58031/kiel0267gck2201,https://doi.org/10.58031/kiel0267gck2201,https://commons.datacite.org/doi.org/10.58031/kiel0267gck2201
gfz.igsn,GFZ IGSN Sample Catalogue,10.60510/gf1211s--w,https://doi.org/10.60510/gf1211s--w,https://commons.datacite.org/doi.org/10.60510/gf1211s--w
gfz.igsn,GFZ IGSN Sample Catalogue,10.60510/gf1211l--v,https://doi.org/10.60510/gf1211l--v,https://commons.datacite.org/doi.org/10.60510/gf1211l--v
gfz.igsn,GFZ IGSN Sample Catalogue,10.60510/gf1211s-4a,https://doi.org/10.60510/gf1211s-4a,https://commons.datacite.org/doi.org/10.60510/gf1211s-4a
gfz.igsn,GFZ IGSN Sample Catalogue,10.60510/gf1211l-3w,https://doi.org/10.60510/gf1211l-3w,https://commons.datacite.org/doi.org/10.60510/gf1211l-3w
gfz.igsn,GFZ IGSN Sample Catalogue,10.60510/gf1211s-49,https://doi.org/10.60510/gf1211s-49,https://commons.datacite.org/doi.org/10.60510/gf1211s-49
jhu.hemi-igsn,HEMI IGSN,10.82581/jhamac00001-s8r7c3,https://doi.org/10.82581/jhamac00001-s8r7c3,https://commons.datacite.org/doi.org/10.82581/jhamac00001-s8r7c3
